County	 FIPS	Age-Adjusted Incidence Rate	Lower 95% Confidence Interval	Upper 95% Confidence Interval	Average Annual Count	Recent Trend	Recent 5-Year Trend in Incidence Rates	Lower 95% Confidence Interval	Upper 95% Confidence Interval
"Calloway County, Kentucky(7,8)"	21035	33.2	25.4	42.7	13	stable	2.6	-2.2	7.6
"Clark County, Kentucky(7,8)"	21049	33.2	25.6	42.4	13	stable	2.9	-0.2	6.1
"Knox County, Maine(6,10)"	23013	33.1	26.2	41.5	18	stable	10.6	-26.3	66.1
"Floyd County, Iowa(7)"	19067	33.1	22.6	47.1	7	*	*	*	*
"Boyle County, Kentucky(7,8)"	21021	33.1	24.5	43.6	11	stable	2.5	-1.2	6.3
"Ocean County, New Jersey(7,8)"	34029	33	31.2	35	266	rising	3.7	3.1	4.4
"Augusta County, Virginia(6,10)"	51015	33	27.8	38.9	31	stable	4.1	-15.8	28.7
"Barnstable County, Massachusetts(6,10)"	25001	33	30.1	36.1	119	stable	-5.5	-21.7	14
"Shelby County, Kentucky(7,8)"	21211	33	25.8	41.6	15	stable	1.5	-2.3	5.4
"Lincoln County, Wyoming(6,10)"	56023	32.9	22.1	47.3	6	stable	-12.3	-31.3	11.9
"Webster County, West Virginia(6,10)"	54101	32.9	19.6	52.7	4	stable	-6.5	-21.9	11.9
"Jasper County, Georgia(7)"	13159	32.8	21	48.9	5	*	*	*	*
"Putnam County, West Virginia(6,10)"	54079	32.6	26.5	39.8	21	stable	-16.2	-40	16.8
"Chester County, Pennsylvania(6,10)"	42029	32.6	30.5	34.9	185	stable	1	-10.7	14.1
"Orange County, North Carolina(6,10)"	37135	32.6	28.1	37.5	41	stable	7	-6.3	22.1
"Marion County, Missouri(6,10)"	29127	32.6	24.1	43.1	10	stable	18.5	-19	73.3
"Washington County, Vermont(6,10)"	50023	32.5	26.9	39	25	stable	8.5	-5.9	25.1
"Hughes County, South Dakota(6,10)"	46065	32.5	22	46.4	6	stable	18.6	-17.6	70.7
"Carteret County, North Carolina(6,10)"	37031	32.5	27.3	38.5	31	stable	-0.2	-21.5	26.9
"York County, Pennsylvania(6,10)"	42133	32.4	30.2	34.8	163	stable	1.9	-5	9.3
"Cass County, North Dakota(6,10)"	38017	32.4	28.4	36.9	48	stable	4.1	-16.1	29.3
"King William County, Virginia(6,10)"	51101	32.4	21.1	47.6	5	stable	-0.4	-23.8	30.1
"Chatham County, North Carolina(6,10)"	37037	32.4	27.1	38.4	30	stable	4.3	-6.9	16.9
"Lemhi County, Idaho(6,10)"	16059	32.3	19.1	53.2	5	stable	-7.5	-63.6	135.2
"Stephens County, Georgia(7,8)"	13257	32.3	23.5	43.2	10	stable	2.3	-3.5	8.5
"Trimble County, Kentucky(7,8)"	21223	32.2	18.1	53.3	3	stable	3.6	-2.5	10.2
"Ford County, Illinois(6,10)"	17053	32.2	20.9	47.7	6	stable	27.6	-7.2	75.6
