Demographic Data Report for United States by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2011-2015 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Sharp County, Arkansas",05135,38789.000000000,"3,002"
"Presidio County, Texas",48377,38884.000000000,"3,001"
"Lake County, Michigan",26085,38903.000000000,"3,000"
"Dolores County, Colorado",08033,38906.000000000,"2,999"
"Lake County, Tennessee",47095,38954.000000000,"2,998"
"Sanders County, Montana",30089,38978.000000000,"2,997"
"Woodruff County, Arkansas",05147,38980.000000000,"2,996"
"Lee County, South Carolina",45061,38984.000000000,"2,995"
"Grady County, Georgia",13131,39040.000000000,"2,993"
"Jackson County, Tennessee",47087,39040.000000000,"2,993"
"Culberson County, Texas",48109,39091.000000000,"2,992"
"Sumter County, Georgia",13261,39106.000000000,"2,991"
"Glacier County, Montana",30035,39172.000000000,"2,990"
"Stone County, Arkansas",05137,39189.000000000,"2,989"
"Chesterfield County, South Carolina",45025,39201.000000000,"2,988"
"Burke County, Georgia",13033,39203.000000000,"2,987"
"Hickory County, Missouri",29085,39301.000000000,"2,986"
"Monroe County, Kentucky",21171,39363.000000000,"2,985"
"Wade Hampton Census Area, Alaska",02270,39375.000000000,"2,984"
"Grayson County, Virginia",51077,39477.000000000,"2,983"
"Marion County, South Carolina",45067,39510.000000000,"2,982"
"Ripley County, Missouri",29181,39625.000000000,"2,981"
"Glades County, Florida",12043,39779.000000000,"2,980"
"Campbell County, Tennessee",47013,39793.000000000,"2,979"
"Emanuel County, Georgia",13107,39802.000000000,"2,978"
"Monroe County, Alabama",01099,39818.000000000,"2,977"
"Evangeline Parish, Louisiana",22039,39834.000000000,"2,976"
"Clay County, West Virginia",54015,39851.000000000,"2,975"
"Sharkey County, Mississippi",28125,39857.000000000,"2,974"
"Perry County, Tennessee",47135,39908.000000000,"2,973"
"Jackson County, Arkansas",05067,39922.000000000,"2,972"
"Clay County, Mississippi",28025,39927.000000000,"2,971"
"Noxubee County, Mississippi",28103,40027.000000000,"2,970"
"Lowndes County, Alabama",01085,40055.000000000,"2,969"
"Guadalupe County, New Mexico",35019,40076.000000000,"2,968"
"Butler County, Alabama",01013,40088.000000000,"2,967"
"Bamberg County, South Carolina",45009,40109.000000000,"2,966"
"Fulton County, Kentucky",21075,40110.000000000,"2,965"
"DeSoto County, Florida",12027,40129.000000000,"2,964"
"Clare County, Michigan",26035,40171.000000000,"2,963"
"Marion County, Mississippi",28091,40178.000000000,"2,962"
"Harney County, Oregon",41025,40182.000000000,"2,961"
"Anson County, North Carolina",37007,40190.000000000,"2,959"
"Calhoun County, Mississippi",28013,40190.000000000,"2,959"
"Early County, Georgia",13099,40231.000000000,"2,958"
"Williamsburg County, South Carolina",45089,40235.000000000,"2,957"
"Putnam County, Florida",12107,40252.000000000,"2,956"
"Winston County, Mississippi",28159,40258.000000000,"2,955"
"Wayne County, Missouri",29223,40290.000000000,"2,954"
"McNairy County, Tennessee",47109,40298.000000000,"2,953"
"Adair County, Oklahoma",40001,40303.000000000,"2,952"
"Cedar County, Missouri",29039,40339.000000000,"2,951"
"Leake County, Mississippi",28079,40397.000000000,"2,950"
"Estill County, Kentucky",21065,40443.000000000,"2,949"
"Lafayette County, Arkansas",05073,40547.000000000,"2,948"
"Covington County, Mississippi",28031,40554.000000000,"2,947"
"Frio County, Texas",48163,40581.000000000,"2,946"
"Jasper County, South Carolina",45053,40602.000000000,"2,945"
"Escambia County, Alabama",01053,40605.000000000,"2,944"
"Macon County, Alabama",01087,40630.000000000,"2,943"
"Roosevelt County, New Mexico",35041,40643.000000000,"2,942"
"Pike County, Mississippi",28113,40648.000000000,"2,941"
"Knott County, Kentucky",21119,40651.000000000,"2,940"
"Hampton County, South Carolina",45049,40678.000000000,"2,939"
"Wheatland County, Montana",30107,40703.000000000,"2,938"
"Costilla County, Colorado",08023,40732.000000000,"2,937"
"Lamar County, Alabama",01075,40740.000000000,"2,936"
"Chattooga County, Georgia",13055,40749.000000000,"2,935"
"Simpson County, Mississippi",28127,40763.000000000,"2,934"
"Searcy County, Arkansas",05129,40773.000000000,"2,933"
"Crosby County, Texas",48107,40785.000000000,"2,932"
"Quay County, New Mexico",35037,40801.000000000,"2,931"
"Norton City, Virginia",51720,40813.000000000,"2,930"
"Motley County, Texas",48345,40833.000000000,"2,929"
"Clinch County, Georgia",13065,40863.000000000,"2,928"
"Winn Parish, Louisiana",22127,40864.000000000,"2,927"
